run,tam_matriz,num_particulas,max_passos,passo_medicao,tipo_execucao,tempo_total,coef_difusao
1, 100, 1e+02, 1e+03, 100, vet, 1.654197, 0.156482
1, 100, 1e+02, 1e+04, 100, vet, 12.506989, 0.029652
1, 100, 1e+02, 1e+04, 1000, vet, 12.322656, 0.027294
1, 100, 1e+02, 1e+05, 100, vet, 120.048901, 0.002596
1, 100, 1e+02, 1e+05, 1000, vet, 121.132199, 0.002361
1, 100, 1e+03, 1e+03, 100, vet, 3.012218, 0.157494
1, 100, 1e+03, 1e+04, 100, vet, 15.383678, 0.027354
1, 100, 1e+03, 1e+04, 1000, vet, 15.206292, 0.028963
1, 100, 1e+03, 1e+05, 100, vet, 141.162695, 0.002921
1, 100, 1e+03, 1e+05, 1000, vet, 137.505627, 0.002700
1, 100, 1e+04, 1e+03, 100, vet, 20.257444, 0.146195
1, 100, 1e+04, 1e+04, 100, vet, 47.389593, 0.028062
1, 100, 1e+04, 1e+04, 1000, vet, 47.490384, 0.027770
1, 100, 1e+04, 1e+05, 100, vet, 321.276488, 0.002786
1, 100, 1e+04, 1e+05, 1000, vet, 327.291892, 0.002795
1, 100, 1e+05, 1e+03, 100, vet, 197.455985, 0.148739
1, 100, 1e+05, 1e+04, 100, vet, 410.177899, 0.027868
1, 100, 1e+05, 1e+04, 1000, vet, 439.788115, 0.027740
1, 1000, 1e+02, 1e+03, 100, vet, 1.390364, 0.278463
1, 1000, 1e+02, 1e+04, 100, vet, 11.867249, 0.211865
1, 1000, 1e+02, 1e+04, 1000, vet, 11.767923, 0.219381
1, 1000, 1e+02, 1e+05, 100, vet, 122.425941, 0.147410
1, 1000, 1e+02, 1e+05, 1000, vet, 119.508257, 0.186933
1, 1000, 1e+03, 1e+03, 100, vet, 3.100825, 0.242586
1, 1000, 1e+03, 1e+04, 100, vet, 15.248225, 0.213234
1, 1000, 1e+03, 1e+04, 1000, vet, 15.332592, 0.213338
1, 1000, 1e+03, 1e+05, 100, vet, 138.662821, 0.154807
1, 1000, 1e+03, 1e+05, 1000, vet, 141.911763, 0.150475
1, 1000, 1e+04, 1e+03, 100, vet, 20.575060, 0.245329
1, 1000, 1e+04, 1e+04, 100, vet, 47.411978, 0.223293
1, 1000, 1e+04, 1e+04, 1000, vet, 47.114785, 0.224224
1, 1000, 1e+04, 1e+05, 100, vet, 318.626334, 0.150214
1, 1000, 1e+04, 1e+05, 1000, vet, 320.785032, 0.151353
1, 1000, 1e+05, 1e+03, 100, vet, 197.411224, 0.241619
1, 1000, 1e+05, 1e+04, 100, vet, 413.166340, 0.220267
1, 1000, 1e+05, 1e+04, 1000, vet, 407.457372, 0.220129
